Comment,Description,Designator,Footprint,LibRef,Quantity

"EMK107B7104KA-T","Ceramic Multilayer Capacitor; Capacitor Type:General Purpose; Capacitance:0.1ÂµF; Capacitance Tolerance:Â± 10%; Voltage Rating:16VDC; Capacitor Dielectric Type:Multilayer Ceramic; Package/Case:0603; Termination Type:SMD ;RoHS Compliant: Yes","Cboot1, Cboot2","CAPC1608X90N","EMK107B7104KA-T","2"
"GRM155R71C472KA01D","","Ccomp","CAPC1005X55X25LL05T10","CMP-2008-04609-1","1"
"20SVPF56MX","","CIn, Cout","CAP_20SVPF56MX","20SVPF56MX","2"
"GRM31CR71E475KA88L","KC 4,7uF 1206 10% 25V X7R","CInx1, CInx2","CAP3216X125N","GRM31CR71E475KA88L","2"
"C2012X7S1E106K125AC","CAP CER 10UF 25V X7S 0805","Coutx1, Coutx2, Coutx3","FP-C2012-125-IPC_A","CMP-08246-000200-1","3"
"C1608X6S1C475K080AC","Cap Ceramic 4.7uF 16V X6S 10% SMD 0603 105Â°C Punched Paper T/R","Cvcc","CAPC1608X90N","C1608X6S1C475K080AC","1"
"XT60PW-F","Socket DC Supply Connector Female","JBAT","AMASS_XT60PW-F","XT60PW-F","1"
"TSW-104-26-F-S","","JI2C","SAMTEC_TSW-104-26-F-S","TSW-104-26-F-S","1"
"HC1-100-R","POWER INDUCTOR","L1","IND_HC1-100-R","HC1-100-R","1"
"CSD17577Q3A","No Description Available","M1","DNH0008A","CSD17577Q3A","1"
"CSD16301Q2","No Description Available","M2","DQK0006C","CSD16301Q2","1"
"CRCW040247K5FKED","","Rcomp","RESC1005X40X25ML05T05","CMP-2002-00027-1","1"
"CRCW0402100KFKED","RES, THICK FILM, 100K, 1%, 0.063W, 0402","Renb","RESC1005X40N","CRCW0402100KFKED","1"
"CRCW0402634KFKED","RES, THICK FILM, 634K, 1%, 0.063W, 0402","Rent","RESC1005X40N","CRCW0402634KFKED","1"
"CRCW06031R00FKEA","RES, THICK FILM, 1R, 1%, 0.1W, 0603, REE","Rg1, Rg2","RESC1508X50N","CRCW06031R00FKEA","2"
"CRCW040221K0FKED","Surface Mount Thick Film Resistor, Aec-Q200 Crcw Series, 21 Kohm, 63 Mw, - 1%, 50 V","Rilim","RESC1005X40N","CRCW040221K0FKED","1"
"CRCW08054K70FKEA","RES Thick Film, 4.7kO, 1%, 0.125W, 100ppm/°C, 0805","Rscl, Rsda","FP-CRCW0805-e3-IPC_B","CMP-2100-03615-2","2"
"CRCW040266K5FKED","Res Thick Film 0402 66.5K Ohm 1% 1/16W Â±100ppm/Â°C Molded SMD SMD Paper T/R","Rt","RESC1005X40N","CRCW040266K5FKED","1"
"TPS55288QRPMRQ1","No Description Available","U1","RPM0026A-MFG","TPS55288QRPMRQ1","1"
